"Context","Source"
"ActuatorAction","3D mode: On"
"ActuatorAction","3D mode: Off"
"ActuatorAction","Set Spin Direction 1"
"ActuatorAction","Set Spin Direction 2"
"ActuatorActions::Action","Actuator action command failed"
"ActuatorComponent","Geometry"
"ActuatorComponent","Actuator Testing"
"ActuatorComponent","Configure some outputs in order to test them."
"ActuatorComponent","Careful: Actuator sliders are enabled"
"ActuatorComponent","Propellers are removed - Enable sliders"
"ActuatorComponent","Actuator Outputs"
"ActuatorComponent","One or more actuator still needs to be assigned to an output."
"ActuatorComponent","Identify & Assign Motors"
"ActuatorComponent","Motor Order Identification and Assignment"
"ActuatorComponent","Error"
"ActuatorComponent","Spin Motor Again"
"ActuatorComponent","Abort"
"ActuatorComponent","Actuators"
"ActuatorFact","(Param not available)"
"ActuatorTesting::ActuatorTest","All Motors"
"ActuatorTesting::ActuatorTest","Actuator test command temporarily rejected"
"ActuatorTesting::ActuatorTest","Actuator test command denied"
"ActuatorTesting::ActuatorTest","Actuator test command not supported"
"ActuatorTesting::ActuatorTest","Actuator test command failed"
"AirLinkConfiguration","AirLink Link Settings"
"AirLinkSettings","Login:"
"AirLinkSettings","Password:"
"AirLinkSettings","Don't have an account?"
"AirLinkSettings","Register"
"AirLinkSettings","List of available devices"
"AirLinkSettings","Refresh"
"AirLinkSettings","Click ""Refresh"" to authorize"
"AirframeComponent","Clicking 'Apply' will save the changes you have made to your airframe configuration.<br><br>                                                                        All vehicle parameters other than Radio Calibration will be reset.<br><br>                                                                        Your vehicle will also be restarted in order to complete the process."
"AirmapSettings",""
"AltModeDialog","Select Altitude Mode"
"AltModeDialog","Relative To Launch"
"AltModeDialog","Specified altitudes are relative to launch position height."
"AltModeDialog","AMSL"
"AltModeDialog","Specified altitudes are Above Mean Sea Level."
"AltModeDialog","Calculated Above Terrain"
"AltModeDialog","Specified altitudes are distance above terrain. Actual altitudes sent to vehicle are calculated from terrain data and sent as AMSL values."
"AltModeDialog","Terrain Frame"
"AltModeDialog","Specified altitudes are distance above terrain. The actual altitude flown is controlled by the vehicle either from terrain height maps being sent to vehicle or a distance sensor."
"AltModeDialog","Mixed Modes"
"AltModeDialog","The altitude mode can differ for each individual item."
"AppLogging","GStreamer Debug Level"
"AppLogging","Logging categories"
"AppLogging","Search:"
"AppLogging","Clear"
"AppLogging","Clear All"
"AppLogging","Log files (*.txt)"
"AppLogging","All Files (*)"
"AppLogging","Select log save file"
"AppLogging","Save App Log"
"AppLogging","Show Latest"
"AppLogging","Set Logging"
"AppSettings","CrashLogs"
