"Context","Source"
"MAVLinkInspectorPage","Hz"
"MAVLinkInspectorPage","Set Rate:"
"MAVLinkInspectorPage","Disabled"
"MAVLinkInspectorPage","Default"
"MAVLinkInspectorPage","1Hz"
"MAVLinkInspectorPage","2Hz"
"MAVLinkInspectorPage","3Hz"
"MAVLinkInspectorPage","4Hz"
"MAVLinkInspectorPage","5Hz"
"MAVLinkInspectorPage","6Hz"
"MAVLinkInspectorPage","7Hz"
"MAVLinkInspectorPage","8Hz"
"MAVLinkInspectorPage","9Hz"
"MAVLinkInspectorPage","10Hz"
"MAVLinkInspectorPage","25Hz"
"MAVLinkInspectorPage","50Hz"
"MAVLinkInspectorPage","100Hz"
"MAVLinkProtocol","Unable to save telemetry log. Error copying telemetry to '%1': '%2'."
"MAVLinkProtocol","Unable to save telemetry log. Application save directory is not set."
"MAVLinkProtocol","Unable to save telemetry log. Telemetry save directory ""%1"" does not exist."
"MainStatusIndicator","Ready To Fly"
"MainStatusIndicator","Not Ready"
"MainStatusIndicator","Armed"
"MainStatusIndicator","Flying"
"MainStatusIndicator","Landing"
"MainStatusIndicator","FW(vtol)"
"MainStatusIndicator","MR(vtol)"
"MainStatusIndicator","Sensor Status"
"MainStatusIndicator","Disarm"
"MainStatusIndicator","Comms Lost"
"MainStatusIndicator","Disconnected - Click to manually connect"
"MainStatusIndicator","Force Arm"
"MainStatusIndicator","Arm"
"MainStatusIndicator","Vehicle Messages"
"MainStatusIndicator","Overall Status"
"MainStatusIndicator","Edit Parameter"
"MainStatusIndicator","Vehicle Parameters"
"MainStatusIndicator","Configure"
"MainStatusIndicator","Vehicle Configuration"
"MainStatusIndicator","Transition to Multi-Rotor"
"MainStatusIndicator","Transition to Fixed Wing"
"MainStatusIndicatorOfflinePage","Select Link to Connect"
"MainStatusIndicatorOfflinePage","No Links Configured"
"MainStatusIndicatorOfflinePage","Connected"
"MainStatusIndicatorOfflinePage","Communication Links"
"MainStatusIndicatorOfflinePage","Configure"
"MainStatusIndicatorOfflinePage","Comm Links"
"MainStatusIndicatorOfflinePage","AutoConnect"
"MainStatusIndicatorOfflinePage","Pixhawk"
"MainStatusIndicatorOfflinePage","SiK Radio"
"MainStatusIndicatorOfflinePage","LibrePilot"
"MainStatusIndicatorOfflinePage","UDP"
"MainStatusIndicatorOfflinePage","Zero-Conf"
"MainStatusIndicatorOfflinePage","RTK"
"MainWindow","Analyze Tools"
"MainWindow","Vehicle Configuration"
"MainWindow","Application Settings"
"MainWindow","Close %1"
"MainWindow","You have a mission edit in progress which has not been saved/sent. If you close you will lose changes. Are you sure you want to close?"
"MainWindow","You have pending parameter updates to a vehicle. If you close you will lose changes. Are you sure you want to close?"
"MainWindow","There are still active connections to vehicles. Are you sure you want to exit?"
"MainWindow","Debug Touch Areas"
"MainWindow","Touch Area display toggled"
"MainWindow","Advanced Mode"
"MainWindow","Turn off Advanced Mode?"
"MainWindow","Plan Flight"
"MainWindow","%1 Version"
"MainWindow","Exit"
"MainWindow","Vehicle Error"
"MainWindow","Additional errors received"
"MapSettings","Provider"
"MapSettings","Type"
"MapSettings","Elevation Provider"
"MapSettings","Offline Maps"
"MapSettings","Download map tiles for use when offline"
"MapSettings","Add New Set"
"MapSettings","Add"
"MapSettings","Import Map Tiles"
"MapSettings","Import"
"MapSettings","Export Map Tiles"
"MapSettings","Export"
"MapSettings","Exporting"
"MapSettings","Importing"
"MapSettings","Tokens"
"MapSettings","Allows access to additional providers"
"MapSettings","Mapbox"
"MapSettings","Esri"
"MapSettings","VWorld"
"MapSettings","Mapbox Login"
"MapSettings","Account"
"MapSettings","Map Style"
"MapSettings","Custom Map URL"
"MapSettings","URL with {x} {y} {z} or {zoom} substitutions"
"MapSettings","Server URL"
"MapSettings","Tile Cache"
"MapSettings","Tile Sets (*.%1)"
"MapSettings","Export Selected Tile Sets"
"MapSettings","Export Tiles"
"MapSettings","Import TileSets"
"MapSettings","Import Tiles"
"MapSettings","Append to existing sets"
"MapSettings","Replace existing sets"
"MapSettings","Error Message"
"MavlinkActionManager","Failed to load custom actions file: `%1` error: `%2`"
"MavlinkActionManager","Custom actions file - incorrect format: %1"
"MavlinkActionManager","Custom actions file - incorrect format: JsonValue not an object"
"MavlinkActionsSettings","Support for Fly View custom actions has changed. The location of the files has changed. You will need to setup up your settings again from Fly View Settings."
"MavlinkActionsSettings","Support for Joystick custom actions has changed. The format and location of the files has changed. New setting is available from Fly View Settings. File format is documented in user guide. Delete the %1 file to disable this warning"
"MissionCommandDialog","Select Mission Command"
"MissionSettingsEditor","All Altitudes"
"MissionSettingsEditor","Initial Waypoint Alt"
"MissionSettingsEditor","The following speed values are used to calculate total mission time. They do not affect the flight speed for the mission."
"MissionSettingsItem","Mission Start"
"Mixer::ChannelConfigInstanceVirtualAxis","Custom"
"Mixer::ChannelConfigInstanceVirtualAxis","Upwards"
"Mixer::ChannelConfigInstanceVirtualAxis","Downwards"
"Mixer::ChannelConfigInstanceVirtualAxis","Forwards"
"Mixer::ChannelConfigInstanceVirtualAxis","Backwards"
"Mixer::ChannelConfigInstanceVirtualAxis","Leftwards"
"Mixer::ChannelConfigInstanceVirtualAxis","Rightwards"
"Mixer::Mixers","Axis"
"MockLink","Send status text + voice"
"MockLink","PX4 Vehicle"
"MockLink","APM ArduCopter Vehicle"
"MockLink","APM ArduPlane Vehicle"
"MockLink","APM ArduSub Vehicle"
"MockLink","APM ArduRover Vehicle"
"MockLink","Generic Vehicle"
"MockLink","Stop One MockLink"
"MockLinkSettings","Send Status Text and Voice"
"MockLinkSettings","Increment Vehicle Id"
"MockLinkSettings","Firmware"
"MockLinkSettings","PX4 Pro"
"MockLinkSettings","ArduPilot"
"MockLinkSettings","Generic MAVLink"
"MockLinkSettings","Vehicle Type"
"MockLinkSettings","ArduCopter"
"MockLinkSettings","ArduPlane"
"MotorAssignment","<br />No motors are assigned yet.
By saying yes, all motors will be assigned to the first %1 channels of the selected output (%2)
 (you can also first assign all motors, then start the identification).<br />"
"MotorAssignment","<br />Motors are currently assigned to a different output.
By saying yes, all motors will be reassigned to the first %1 channels of the selected output (%2).<br />"
"MotorAssignment","Not all motors are assigned yet. Either clear all existing assignments or assign all motors to an output."
"MotorAssignment","This will automatically spin individual motors at 15% thrust.<br /><br />
<b>Warning: Only proceed if you removed all propellers</b>.<br />
%1
<br />
The procedure is as following:<br />
- After confirming, the first motor starts to spin for 0.5 seconds.<br />
- Then click on the motor that was spinning.<br />
- The above steps are repeated for all motors.<br />
- The motor output functions will automatically be reassigned by the selected order.<br />
<br />
Do you wish to proceed?"
"MotorAssignment","Actuator test command failed"
"MotorComponent","Throttle"
"MotorComponent","%"
"MotorComponent","Make sure you remove all props."
"MotorComponent","Stop"
"MotorComponent","Careful : Motors are enabled"
"MotorComponent","Propellers are removed - Enable slider and motors"
"MultiVehicleSelector","N/A"
"MultiVehicleSelector","Enable Multi-Vehicle Panel"
"OfflineMapEditor","System Wide Tile Cache"
"OfflineMapEditor","Zoom Levels:"
"OfflineMapEditor","Total:"
"OfflineMapEditor","Unique:"
"OfflineMapEditor","Downloaded:"
"OfflineMapEditor","Error Count:"
"OfflineMapEditor","Size:"
"OfflineMapEditor","Tile Count:"
"OfflineMapEditor","Resume Download"
"OfflineMapEditor","Cancel Download"
"OfflineMapEditor","Delete"
"OfflineMapEditor","Ok"
"OfflineMapEditor","Close"
"OfflineMapEditor","Cancel"
"OfflineMapEditor","Show zoom previews"
"OfflineMapEditor","Min Zoom: %1"
"OfflineMapEditor","Max Zoom: %1"
"OfflineMapEditor","Add New Set"
"OfflineMapEditor","Name:"
"OfflineMapEditor","Map type:"
"OfflineMapEditor","Fetch elevation data"
"OfflineMapEditor","Min/Max Zoom Levels"
"OfflineMapEditor","Est Size:"
"OfflineMapEditor","Too many tiles"
"OfflineMapEditor","Download"
"OfflineMapEditor","Error Message"
"OfflineMapEditor","Confirm Delete"
"OfflineMapEditor","This will delete all tiles INCLUDING the tile sets you have created yourself.

Is this really what you want?"
"OfflineMapEditor","Delete %1 and all its tiles.

Is this really what you want?"
"OfflineMapInfo","Edit"
"OpticalFlowSensor","Optical Flow Camera"
"PIDTuning","Select Tuning:"
"PIDTuning","sec"
"PIDTuning","Use auto-tuning"
"PIDTuning","Use manual tuning"
"PX4BatteryIndicator","Low Battery Failsafe"
"PX4BatteryIndicator","Vehicle Action"
"PX4BatteryIndicator","Warning Level"
"PX4BatteryIndicator","Critical Level"
"PX4BatteryIndicator","Emergency Level"
"PX4FirmwarePlugin","Unable to pause vehicle."
"PX4FirmwarePlugin","Vehicle does not support guided rotate"
"PX4FirmwarePlugin","Unable to start takeoff: Vehicle rejected arming."
"PX4FirmwarePlugin","Unable to start takeoff: Vehicle not changing to %1 flight mode."
"PX4FirmwareUpgradeThreadWorker","Rebooting board"
"PX4FlightBehavior","Flight Behavior"
"PX4FlightBehavior","Flight Behavior is used to configure flight characteristics."
"PX4FlightBehaviorCopter","Enable responsiveness slider (if enabled, acceleration limit parameters and others are automatically set)"
"PX4FlightBehaviorCopter","Responsiveness"
"PX4FlightBehaviorCopter","A higher value makes the vehicle react faster. Be aware that this affects braking as well, and a combination of slow responsiveness with high maximum velocity will lead to long braking distances."
"PX4FlightBehaviorCopter","Warning: a high responsiveness requires a vehicle with large thrust-to-weight ratio. The vehicle might lose altitude otherwise."
"PX4FlightBehaviorCopter","Enable horizontal velocity slider (if enabled, individual velocity limit parameters are automatically set)"
"PX4FlightBehaviorCopter","Horizontal velocity (m/s)"
"PX4FlightBehaviorCopter","Limit the horizonal velocity (applies to all modes)."
"PX4FlightBehaviorCopter","Enable vertical velocity slider (if enabled, individual velocity limit parameters are automatically set)"
"PX4FlightBehaviorCopter","Vertical velocity (m/s)"
"PX4FlightBehaviorCopter","Limit the vertical velocity (applies to all modes)."
"PX4FlightBehaviorCopter","Mission Turning Radius"
"PX4FlightBehaviorCopter","Increasing this leads to rounder turns in missions (corner cutting). Use the minimum value for accurate corner tracking."
"PX4FlightModeIndicator","RTL Altitude"
"PX4FlightModeIndicator","GeoFence"
"PX4FlightModeIndicator","Breach Action"
"PX4FlightModeIndicator","Max Distance"
"PX4FlightModeIndicator","Max Altitude"
"PX4LogTransferSettings","MAVLink Logging"
"PX4LogTransferSettings","Please enter an email address before uploading MAVLink log files."
"PX4LogTransferSettings","MAVLink 2.0 Logging (PX4 Pro Only)"
"PX4LogTransferSettings","Manual Start/Stop:"
"PX4LogTransferSettings","Start Logging"
"PX4LogTransferSettings","Stop Logging"
"PX4LogTransferSettings","Enable automatic logging"
"PX4LogTransferSettings","MAVLink 2.0 Log Uploads (PX4 Pro Only)"
"PX4LogTransferSettings","Email address for Log Upload:"
"PX4LogTransferSettings","Default Description:"
"PX4LogTransferSettings","Default Upload URL"
"PX4LogTransferSettings","Video URL:"
"PX4LogTransferSettings","Wind Speed:"
"PX4LogTransferSettings","Please Select"
"PX4LogTransferSettings","Calm"
"PX4LogTransferSettings","Breeze"
"PX4LogTransferSettings","Gale"
"PX4LogTransferSettings","Storm"
"PX4LogTransferSettings","Flight Rating:"
"PX4LogTransferSettings","Crashed (Pilot Error)"
"PX4LogTransferSettings","Crashed (Software or Hardware issue)"
"PX4LogTransferSettings","Unsatisfactory"
"PX4LogTransferSettings","Good"
"PX4LogTransferSettings","Great"
"PX4LogTransferSettings","Additional Feedback:"
"PX4LogTransferSettings","Make this log publicly available"
"PX4LogTransferSettings","Enable automatic log uploads"
"PX4LogTransferSettings","Delete log file after uploading"
"PX4LogTransferSettings","Saved Log Files"
"PX4LogTransferSettings","Uploaded"
"PX4LogTransferSettings","Check All"
"PX4LogTransferSettings","Check None"
"PX4LogTransferSettings","Delete Selected"
"PX4LogTransferSettings","Delete Selected Log Files"
"PX4LogTransferSettings","Confirm deleting selected log files?"
"PX4LogTransferSettings","Upload Selected"
"PX4LogTransferSettings","Upload Selected Log Files"
"PX4LogTransferSettings","Confirm uploading selected log files?"
"PX4LogTransferSettings","Cancel"
"PX4LogTransferSettings","Cancel Upload"
"PX4LogTransferSettings","Confirm canceling the upload process?"
"PX4MainStatusIndicatorContentItem","Ground Control Comm Loss Failsafe"
"PX4MainStatusIndicatorContentItem","Vehicle Action"
"PX4MainStatusIndicatorContentItem","Loss Timeout"
"PX4TuningComponent","PID Tuning"
"PX4TuningComponent","Tuning Setup is used to tune the flight controllers."
"PX4TuningComponentCopterAll","Rate Controller"
"PX4TuningComponentCopterAll","Attitude Controller"
"PX4TuningComponentCopterAll","Velocity Controller"
"PX4TuningComponentCopterAll","Position Controller"
"PX4TuningComponentCopterAttitude","Roll"
"PX4TuningComponentCopterAttitude","Proportional Gain (MC_ROLL_P)"
"PX4TuningComponentCopterAttitude","Increase for more responsiveness, reduce if the attitude overshoots."
"PX4TuningComponentCopterAttitude","Pitch"
"PX4TuningComponentCopterAttitude","Proportional Gain (MC_PITCH_P)"
"PX4TuningComponentCopterAttitude","Yaw"
"PX4TuningComponentCopterAttitude","Proportional Gain (MC_YAW_P)"
"PX4TuningComponentCopterAttitude","Increase for more responsiveness, reduce if the attitude overshoots (there is only a setpoint when yaw is fixed, i.e. when centering the stick)."
"PX4TuningComponentCopterPosition","Position control mode (set this to 'simple' during tuning):"
"PX4TuningComponentCopterPosition","Horizontal"
"PX4TuningComponentCopterPosition","Horizontal (Y direction, sidewards)"
"PX4TuningComponentCopterPosition","Proportional gain (MPC_XY_P)"
"PX4TuningComponentCopterPosition","Increase for more responsiveness, reduce if the position overshoots (there is only a setpoint when hovering, i.e. when centering the stick)."
"PX4TuningComponentCopterPosition","Vertical"
"PX4TuningComponentCopterPosition","Proportional gain (MPC_Z_P)"
"PX4TuningComponentCopterRate","Airmode (disable during tuning) <b><a href=""https://docs.px4.io/main/en/config_mc/pid_tuning_guide_multicopter.html#airmode-mixer-saturation"">?</a></b>"
"PX4TuningComponentCopterRate","Thrust curve <b><a href=""https://docs.px4.io/main/en/config_mc/pid_tuning_guide_multicopter.html#thrust-curve"">?</a></b>"
"PX4TuningComponentCopterRate","Rate"
"PX4TuningComponentCopterRate","deg/s"
"PX4TuningComponentCopterRate","Roll"
"PX4TuningComponentCopterRate","Overall Multiplier (MC_ROLLRATE_K)"
"PX4TuningComponentCopterRate","Multiplier for P, I and D gains: increase for more responsiveness, reduce if the rates overshoot (and increasing D does not help)."
"PX4TuningComponentCopterRate","Differential Gain (MC_ROLLRATE_D)"
"PX4TuningComponentCopterRate","Damping: increase to reduce overshoots and oscillations, but not higher than really needed."
"PX4TuningComponentCopterRate","Integral Gain (MC_ROLLRATE_I)"
"PX4TuningComponentCopterRate","Generally does not need much adjustment, reduce this when seeing slow oscillations."
"PX4TuningComponentCopterRate","Pitch"
"PX4TuningComponentCopterRate","Overall Multiplier (MC_PITCHRATE_K)"
"PX4TuningComponentCopterRate","Differential Gain (MC_PITCHRATE_D)"
"PX4TuningComponentCopterRate","Integral Gain (MC_PITCHRATE_I)"
"PX4TuningComponentCopterRate","Yaw"
"PX4TuningComponentCopterRate","Overall Multiplier (MC_YAWRATE_K)"
"PX4TuningComponentCopterRate","Integral Gain (MC_YAWRATE_I)"
"PX4TuningComponentCopterVelocity","Position control mode (set this to 'simple' during tuning):"
"PX4TuningComponentCopterVelocity","Horizontal"
"PX4TuningComponentCopterVelocity","Horizontal (Y direction, sidewards)"
"PX4TuningComponentCopterVelocity","Proportional gain (MPC_XY_VEL_P_ACC)"
"PX4TuningComponentCopterVelocity","Increase for more responsiveness, reduce if the velocity overshoots (and increasing D does not help)."
"PX4TuningComponentCopterVelocity","Integral gain (MPC_XY_VEL_I_ACC)"
"PX4TuningComponentCopterVelocity","Increase to reduce steady-state error (e.g. wind)"
"PX4TuningComponentCopterVelocity","Differential gain (MPC_XY_VEL_D_ACC)"
"PX4TuningComponentCopterVelocity","Damping: increase to reduce overshoots and oscillations, but not higher than really needed."
"PX4TuningComponentCopterVelocity","Vertical"
"PX4TuningComponentCopterVelocity","Proportional gain (MPC_Z_VEL_P_ACC)"
"PX4TuningComponentCopterVelocity","Integral gain (MPC_Z_VEL_I_ACC)"
"PX4TuningComponentCopterVelocity","Increase to reduce steady-state error"
"PX4TuningComponentCopterVelocity","Differential gain (MPC_Z_VEL_D_ACC)"
"PX4TuningComponentPlaneAll","Rate Controller"
"PX4TuningComponentPlaneAttitude","Roll"
"PX4TuningComponentPlaneAttitude","Time constant (FW_R_TC)"
"PX4TuningComponentPlaneAttitude","The latency between a roll step input and the achieved setpoint (inverse to a P gain)"
"PX4TuningComponentPlaneAttitude","Pitch"
"PX4TuningComponentPlaneAttitude","Time Constant (FW_P_TC)"
"PX4TuningComponentPlaneAttitude","The latency between a pitch step input and the achieved setpoint (inverse to a P gain)"
"PX4TuningComponentPlaneRate","Roll"
"PX4TuningComponentPlaneRate","Porportional gain (FW_RR_P)"
"PX4TuningComponentPlaneRate","Porportional gain."
"PX4TuningComponentPlaneRate","Differential Gain (FW_RR_D)"
"PX4TuningComponentPlaneRate","Damping: increase to reduce overshoots and oscillations, but not higher than really needed."
"PX4TuningComponentPlaneRate","Integral Gain (FW_RR_I)"
"PX4TuningComponentPlaneRate","Generally does not need much adjustment, reduce this when seeing slow oscillations."
"PX4TuningComponentPlaneRate","Feedforward Gain (FW_RR_FF)"
"PX4TuningComponentPlaneRate","Feedforward gused to compensate for aerodynamic damping."
"PX4TuningComponentPlaneRate","Pitch"
"PX4TuningComponentPlaneRate","Porportional Gain (FW_PR_P)"
"PX4TuningComponentPlaneRate","Porportional Gain."
"PX4TuningComponentPlaneRate","Differential Gain (FW_PR_D)"
"PX4TuningComponentPlaneRate","Integral Gain (FW_PR_I)"
"PX4TuningComponentPlaneRate","Feedforward Gain (FW_PR_FF)"
"PX4TuningComponentPlaneRate","Yaw"
"PX4TuningComponentPlaneRate","Porportional Gain (FW_YR_P)"
"PX4TuningComponentPlaneRate","Integral Gain (FW_YR_D)"
"PX4TuningComponentPlaneRate","Integral Gain (FW_YR_I)"
"PX4TuningComponentPlaneRate","Feedforward Gain (FW_YR_FF)"
"PX4TuningComponentPlaneRate","Roll control to yaw feedforward (FW_RLL_TO_YAW_FF)"
"PX4TuningComponentPlaneRate","Used to counteract the adverse yaw effect for fixed wings."
"PX4TuningComponentPlaneTECS","Altitude & Airspeed"
"PX4TuningComponentPlaneTECS","Height rate feed forward (FW_T_HRATE_FF)"
"PX4TuningComponentPlaneTECS","TODO"
"PX4TuningComponentVTOL","Multirotor"
"ParameterDiffDialog","Load Parameters"
"ParameterDiffDialog","The following parameters from the loaded file differ from what is currently set on the Vehicle. Click 'Ok' to update them on the Vehicle."
"ParameterDiffDialog","There are no differences between the file loaded and the current settings on the Vehicle."
"ParameterDiffDialog","Comp ID"
"ParameterDiffDialog","Name"
"ParameterDiffDialog","File"
"ParameterDiffDialog","Vehicle"
"ParameterDiffDialog","N/A"
"ParameterEditor","All Files (*)"
"ParameterEditor","Search"
"ParameterEditor","Select Reset to reset all parameters to their defaults.

Note that this will also completely reset everything, including UAVCAN nodes, all vehicle settings, setup and calibrations."
"ParameterEditor","Load from file for review..."
"ParameterEditorDialog","Reset To Default"
"ParameterEditorDialog","Value Editor"
"ParameterEditorDialog","Vehicle reboot required after change"
"ParameterEditorDialog","Application restart required after change"
"PhotoVideoControl","Camera Tracking"
"PhotoVideoControl","Free Space: "
"PhotoVideoControl","Zoom"
"PhotoVideoControl","Battery: "
"PhotoVideoControl","Settings"
"PhotoVideoControl","Camera"
"PhotoVideoControl","Video Stream"
"PhotoVideoControl","Thermal View Mode"
"PhotoVideoControl","Blend Opacity"
"PhotoVideoControl","Photo Mode"
"PhotoVideoControl","Photo Interval (seconds)"
"PhotoVideoControl","Video Grid Lines"
"PhotoVideoControl","Video Screen Fit"
"PhotoVideoControl","Reset Camera Defaults"
"PhotoVideoControl","Storage"
"PhotoVideoControl","Off"
"PhotoVideoControl","Blend"
"PhotoVideoControl","Full"
"PhotoVideoControl","Picture In Picture"
"PhotoVideoControl","Single"
"PhotoVideoControl","Time Lapse"
"PhotoVideoControl","Reset"
"PhotoVideoControl","Reset Camera to Factory Settings"
"PhotoVideoControl","Confirm resetting all settings?"
"PhotoVideoControl","Format"
"PhotoVideoControl","Format Camera Storage"
"PhotoVideoControl","Confirm erasing all files?"
"PlanMasterController","All Files (*)"
"PlanToolBarIndicators"," deg"
"PlanToolBarIndicators","N/A"
"PlanToolBarIndicators","Dist prev WP:"
"PlanView","Apply new altitude"
"PlanView","Plan View - Vehicle Disconnected"
"PlanView","Plan View - Vehicle Changed"
"PlanView","The vehicle associated with the plan in the Plan View is no longer available. What would you like to do with that plan?"
"PlanView","The plan being worked on in the Plan View is not from the current vehicle. What would you like to do with that plan?"
"PlanView","Discard Unsaved Changes"
"PlanView","Discard Unsaved Changes, Load New Plan From Vehicle"
"PlanView","Load New Plan From Vehicle"
"PlanView","Keep Current Plan"
"PlanView","Keep Current Plan, Don't Update From Vehicle"
"PlanView","This Plan was created for a different firmware or vehicle type than the firmware/vehicle type of vehicle you are uploading to. This can lead to errors or incorrect behavior. It is recommended to recreate the Plan for the correct firmware/vehicle type.

Click 'Ok' to upload the Plan anyway."
"PlanView","Send To Vehicle"
"PlanView","Current mission must be paused prior to uploading a new Plan"
"PlanView","Alt Land"
"PlanView","UTM-Adapter"
"PlanView","Powered by %1"
"PlanView","Plan overwrite"
"PlanViewSettings","Default Mission Altitude"
"PlanViewSettings","VTOL TransitionDistance"
"PlanViewSettings","Use MAV_CMD_CONDITION_GATE for pattern generation"
"PlanViewSettings","Missions do not require takeoff item"
"PlanViewSettings","Allow configuring multiple landing sequences"
"PlanViewToolBar","Exit Plan"
"PlanViewToolBar","Syncing Mission"
"PlanViewToolBar","Done"
"PlanViewToolBar","Click anywhere to hide"
"PowerComponent","ESC Calibration failed. "
"PowerComponent","Battery "
"PowerComponent","Source"
"PreFlightCheckList","(Passed)"
"PreFlightCheckList","In Progress"
"ProximityRadarValues","--.--"
"QGCApplication","There is a newer version of %1 available. You can download it from %2."
"QGCApplication","New Version Available"
"QGCCacheWorker","Database Not Initialized"
"QGCCompassWidget","L"
"QGCFileDownload","Unabled to find writable download location. Tried downloads and temp directory."
"QGCLogging","Unable to reopen log file %1: %2"
"QGCLogging","Open console log output file failed %1 : %2"
"QGCMAVLink","Generic micro air vehicle"
"QGCMAVLink","Fixed wing aircraft"
"QGCMAVLink","Quadrotor"
"QGCMAVLink","Coaxial helicopter"
"QGCMAVLink","Normal helicopter with tail rotor."
"QGCMAVLink","Ground installation"
"QGCMAVLink","Operator control unit / ground control station"
"QGCMAVLink","Airship, controlled"
"QGCMAVLink","Free balloon, uncontrolled"
"QGCMAVLink","Rocket"
"QGCMAVLink","Ground rover"
"QGCMAVLink","Surface vessel, boat, ship"
"QGCMAVLink","Submarine"
"QGCMAVLink","Hexarotor"
"QGCMAVLink","Octorotor"
"QGCMAVLink","trirotor"
"QGCMAVLink","Flapping wing"
"QGCMAVLink","Kite"
"QGCMAVLink","Onboard companion controller"
"QGCMAVLink","Two-rotor VTOL using control surfaces in vertical operation in addition. Tailsitter"
"QGCMAVLink","Quad-rotor VTOL using a V-shaped quad config in vertical operation. Tailsitter"
"QGCMAVLink","Tiltrotor VTOL"
"QGCMAVLink","VTOL Fixedrotor"
"QGCMAVLink","VTOL Tailsitter"
"QGCMAVLink","VTOL Tiltwing"
"QGCMAVLink","VTOL reserved 5"
"QGCMAVLink","Onboard gimbal"
"QGCMAVLink","Onboard ADSB peripheral"
"QGCMAVLinkSystem","Comp All"
"QGCMAVLinkSystem","Comp %1"
"QGCMapPolylineVisuals","Select Polyline File"
"QGCMapPolylineVisuals","Load KML/SHP..."
"QGCPopupDialog","Ok"
"QGCPopupDialog","Open"
"QGCPopupDialog","Save"
"QGCPopupDialog","Apply"
"QGCPopupDialog","Save All"
"QGCPopupDialog","Yes"
"QGCPopupDialog","Yes to All"
"QGCPopupDialog","Retry"
"QGCPopupDialog","Reset"
"QGCPopupDialog","Restore to Defaults"
"QGCPopupDialog","Ignore"
"QGCPopupDialog","Cancel"
"QGCPopupDialog","Close"
"QGCPopupDialog","No"
"QGCPopupDialog","No to All"
"QGCPopupDialog","Abort"
"QGeoFileTileCacheQGC","The Offline Map Cache database has been upgraded. Your old map cache sets have been reset."
"QGeoTiledMapReplyQGC","Unexpected Error"
"QGeoTiledMapReplyQGC","Empty Reply"
"QGeoTiledMapReplyQGC","Image is Empty"
"QGeoTiledMapReplyQGC","Bing Tile Above Zoom Level"
"QGeoTiledMapReplyQGC","Failed to Serialize Terrain Tile"
"QGeoTiledMapReplyQGC","Unknown Format"
"QGeoTiledMapReplyQGC","Invalid Reply"
"QGeoTiledMapReplyQGC","Invalid Cache Tile"
"QGeoTiledMapReplyQGC","Network Not Available"
"QGroundControlQmlGlobal","(AMSL)"
"QGroundControlQmlGlobal","(CalcT)"
"QGroundControlQmlGlobal","AMSL"
"QGroundControlQmlGlobal","Calc Above Terrain"
"QGroundControlQmlGlobal","Mixed Modes"
"QGroundControlQmlGlobal","(TerrF)"
"QGroundControlQmlGlobal","Relative To Launch"
"QGroundControlQmlGlobal","Terrain Frame"
"QObject","File open failed: file:error %1 %2"
"QObject","Unable to open file: '%1', error: %2"
"QObject","Unable to parse json file: %1 error: %2 offset: %3"
"QObject","Root of json file is not object: %1"
"QObject","Json file: '%1'. %2"
"QObject","You are running %1 as root. You should not do this since it will cause other issues with %1.%1 will now exit.<br/><br/>"
"QSerialPort","No error"
"QSerialPort","Device is already open"
"QSerialPort","Device is not open"
"QSerialPort","Operation timed out"
"QSerialPort","Error reading from device"
"QSerialPort","Error writing to device"
"QSerialPort","Device disappeared from the system"
"QSerialPort","Unsupported open mode"
"QSerialPort","Closing device failed"
"QSerialPort","Failed to start async read"
"QSerialPort","Failed to stop async read"
"QSerialPort","Timeout while waiting for ready read"
"QSerialPort","Timeout while waiting for bytes written"
"QSerialPort","Invalid data or size"
"QSerialPort","Failed to write data"
"QSerialPort","Failed to flush"
"QSerialPort","Failed to set DTR"
"QSerialPort","Failed to set RTS"
"QSerialPort","Failed to set parameters"
"QSerialPort","Invalid baud rate value"
"QSerialPort","Custom baud rate direction is unsupported"
"QSerialPort","Invalid Baud Rate"
"QSerialPort","Failed to set baud rate"
"QSerialPort","Failed to set data bits"
"QSerialPort","Failed to set parity"
"QSerialPort","Failed to set StopBits"
"QSerialPort","Failed to set Flow Control"
"QSerialPort","Failed to set Break Enabled"
"RCChannelMonitor","Not Mapped"
"RCChannelMonitor","Channel Monitor"
"RCRSSIIndicator","RSSI"
"RadioComponent","Click Ok to place your Spektrum receiver in the bind mode."
"RadioComponent","Select the specific receiver type below:"
"RadioComponent","CRSF Bind"
"RadioComponent","Click Ok to place your CRSF receiver in the bind mode."
"RadioComponent","Radio Not Ready"
"RadioComponent","Ready to calibrate."
"RadioComponent","Zero Trims"
"RemoteIDIndicatorPage","RemoteID Status"
"RemoteIDIndicatorPage","ARM STATUS"
"RemoteIDIndicatorPage","RID COMMS"
"RemoteIDIndicatorPage","NOT CONNECTED"
"RemoteIDIndicatorPage","GCS GPS"
"RemoteIDIndicatorPage","BASIC ID"
"RemoteIDIndicatorPage","OPERATOR ID"
"RemoteIDIndicatorPage","EMERGENCY HAS BEEN DECLARED, Press and Hold for 3 seconds to cancel"
"RemoteIDIndicatorPage","Press and Hold below button to declare emergency"
"RemoteIDIndicatorPage","Clear Emergency"
"RemoteIDIndicatorPage","EMERGENCY"
"RemoteIDIndicatorPage","Arm Status Error"
"RemoteIDIndicatorPage","Self ID"
"RemoteIDIndicatorPage","If an emergency is declared, Emergency Text will be broadcast even if Broadcast setting is not enabled."
"RemoteIDIndicatorPage","Broadcast"
"RemoteIDIndicatorPage","Broadcast Message"
